,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
670,,,,2.45,350,0.17,392.857142857143,387.61,,,,,,,12,14,10,10,10.8,44.8,45.41,114.64,8.16,36.08,44.24,36.08,7.28,30,37.28,30,8.08,17.6,25.68
680,,,,2.45,350,0.17,392.857142857143,382.49,,,,,,,12,14,10,10,10.8,44.8,46.01,116.4,8.16,40.24,48.4,40.24,7.2,30,37.2,30,8.08,17.68,25.76
690,,,,2.45,350,0.17,360.655737704918,370.6,,,,,,,12,14,14,10,10.8,48.8,47.49,113.68,8,40.56,48.56,40.56,7.28,30.32,37.6,30.32,8.08,18.8,26.88
700,,,,2.45,350,0.17,360.655737704918,366.21,,,,,,,12,14,14,10,10.8,48.8,48.06,116.24,8.16,42.48,50.64,42.48,7.2,30.08,37.28,30.08,8.08,18,26.08
710,,,,2.45,350,0.17,360.655737704918,395.29,,,,,,,12,14,14,10,10.8,48.8,44.52,114.56,8.16,32.88,41.04,32.88,7.36,29.92,37.28,29.92,8.08,18.08,26.16
720,,,,2.45,350,0.17,360.655737704918,382.63,,,,,,,12,14,14,10,10.8,48.8,46,116.16,8.16,35.28,43.44,35.28,7.36,29.92,37.28,29.92,8.08,18.56,26.64
730,,,,2.45,350,0.17,360.655737704918,373.26,,,,,,,12,14,14,10,10.8,48.8,47.15,114.48,8.24,40.56,48.8,40.56,7.2,30.16,37.36,30.16,8.08,19.6,27.68
740,,,,2.45,350,0.17,360.655737704918,387.36,,,,,,,12,14,14,10,10.8,48.8,45.44,115.28,8.08,32.96,41.04,32.96,7.36,29.84,37.2,29.84,8.08,18.96,27.04
750,,,,2.45,350,0.17,360.655737704918,371.11,,,,,,,12,14,14,10,10.8,48.8,47.43,114.4,8.16,40.08,48.24,40.08,7.28,30.16,37.44,30.16,8.08,19.44,27.52
760,,,,2.45,350,0.17,360.655737704918,367.68,,,,,,,12,14,14,10,10.8,48.8,47.87,115.92,8.16,40.72,48.88,40.72,7.2,30,37.2,30,8.08,19.44,27.52
770,,,,2.45,350,0.17,360.655737704918,305.26,,,,,,,12,14,14,10,10.8,48.8,57.66,113.52,8,41.68,49.68,41.68,7.84,31.52,39.36,31.52,8.16,20.56,28.72
780,,,,2.45,350,0.17,360.655737704918,344.06,,,,,,,12,14,14,10,10.8,48.8,51.15,115.84,8.16,48,56.16,48,7.28,30.16,37.44,30.16,8.16,21.12,29.28
790,,,,2.45,350,0.17,360.655737704918,330.19,,,,,,,12,14,14,10,10.8,48.8,53.3,114.32,8.16,46.24,54.4,46.24,7.44,30.48,37.92,30.48,8.16,22.72,30.88
800,,,,2.45,350,0.17,360.655737704918,342.97,,,,,,,12,14,14,10,10.8,48.8,51.32,115.76,8.16,42.48,50.64,42.48,7.36,30.4,37.76,30.4,8.16,22,30.16
810,,,,2.45,350,0.17,360.655737704918,337.63,,,,,,,12,14,14,10,10.8,48.8,52.13,114.24,8.16,48.4,56.56,48.4,7.28,30.16,37.44,30.16,8.16,22.56,30.72
820,,,,2.45,350,0.17,360.655737704918,333.25,,,,,,,12,14,14,10,10.8,48.8,52.81,114.96,8.08,48.32,56.4,48.32,7.28,30.24,37.52,30.24,8.16,22.32,30.48
830,,,,2.45,350,0.17,360.655737704918,330.58,,,,,,,12,14,14,10,10.8,48.8,53.24,114.24,8.16,48.4,56.56,48.4,7.28,30.32,37.6,30.32,8.16,23.12,31.28
840,,,,2.45,350,0.17,360.655737704918,329.14,,,,,,,12,14,14,10,10.8,48.8,53.47,115.6,8.16,48.24,56.4,48.24,7.2,30.16,37.36,30.16,8.16,22.48,30.64
850,,,,2.45,350,0.17,360.655737704918,330.7,,,,,,,12,14,14,10,10.8,48.8,53.22,113.44,8,48.32,56.32,48.32,7.28,30.24,37.52,30.24,8.16,22.8,30.96
860,,,,2.45,350,0.17,360.655737704918,327.07,,,,,,,12,14,14,10,10.8,48.8,53.81,115.52,8.16,48.64,56.8,48.64,7.28,30.24,37.52,30.24,8.16,23.68,31.84
870,,,,2.45,350,0.17,360.655737704918,322.86,,,,,,,12,14,14,10,10.8,48.8,54.51,114.16,8.16,48.48,56.64,48.48,7.36,30.4,37.76,30.4,8.16,24.24,32.4
880,,,,2.45,350,0.17,360.655737704918,325.61,,,,,,,12,14,14,10,10.8,48.8,54.05,115.44,8.16,48.48,56.64,48.48,7.36,30.4,37.76,30.4,8.16,24.8,32.96
890,,,,2.45,350,0.17,360.655737704918,321.15,,,,,,,12,14,14,10,10.8,48.8,54.8,114.08,8.16,47.04,55.2,47.04,7.36,30.48,37.84,30.48,8.16,24.4,32.56
900,,,,2.45,350,0.17,360.655737704918,335.09,,,,,,,12,14,14,10,10.8,48.8,52.52,114.72,8.08,42.8,50.88,42.8,7.36,30.64,38,30.64,8.16,24.64,32.8
910,,,,1.64,234.285714285714,0.17,315.412186379928,324.84,,,,,,,12,14,14,10,17.8,55.8,54.18,114.08,8.16,48.32,56.48,48.32,7.28,30.4,37.68,30.4,8.16,25.68,33.84
920,,,,1.64,234.285714285714,0.17,315.412186379928,327.46,,,,,,,12,14,14,10,17.8,55.8,53.75,115.28,8.16,48.24,56.4,48.24,7.2,30.24,37.44,30.24,8.16,25.36,33.52
930,,,,1.64,234.285714285714,0.17,315.412186379928,327.25,,,,,,,12,14,14,10,17.8,55.8,53.78,113.28,8,48.32,56.32,48.32,7.2,30.24,37.44,30.24,8.16,26,34.16
